1973,22.7
1974,26.4
1975,30.2
1976,34.5
1977,37.7
1978,40.6
1979,44.7
1980,48.8
1981,54.3
1982,60.3
1983,65.5
1984,67.2
1985,72.7
1986,79.8
1987,85.5
1988,92.0
1989,99.2
1990,106.0
1991,107.6
1992,107.9
1993,110.0
1994,112.8
1995,118.5
1996,120.3
1997,120.0
1998,121.9
1999,124.1
2000,131.3
2001,135.4
2002,139.5
2003,142.8
2004,146.5
2005,150.6
2006,155.5
2007,160.1
2008,166.0
2009,169.5
2010,174.0
2011,179.4
2012,180.4
