0-9,1231331,1233104,1234468,1230686,1226878,1220746,1205358,1191638,1176851,1166485,1159720,1155573,1157950,1164075,1177103,1192771,1210681,1227902,1239191,1249456,1253542,1257412,1262910,1268236,1273456,1276056,1278909,1280421,1282732,1277697,1274215,1272841,1276096,1290805,1302810,1302810,1302810,1302810,1302810,1302810
10-19,1210309,1226183,1231010,1232905,1240837,1246262,1254707,1262787,1280397,1293756,1297472,1296866,1297421,1298014,1298254,1298558,1294902,1285525,1268609,1253684,1246146,1245241,1250187,1261764,1263793,1270160,1283344,1301877,1322171,1336901,1348756,1357294,1365078,1370272,1382403,1382403,1382403,1382403,1382403,1382403
20-29,1087796,1117542,1144168,1164312,1167529,1182609,1202172,1224460,1249599,1277889,1293335,1304212,1315350,1322997,1335161,1348803,1365061,1376614,1386575,1395089,1392120,1388683,1391749,1395521,1395514,1386217,1373955,1362890,1347807,1342525,1351813,1363372,1386548,1419991,1449156,1449156,1449156,1449156,1449156,1449156
30-39,800218,830202,859587,882192,929538,969200,1005430,1045855,1089583,1132384,1173064,1199884,1228222,1258458,1270726,1295273,1323092,1350927,1376110,1402451,1418862,1432439,1443477,1453123,1458680,1461975,1469099,1474744,1490466,1500502,1504691,1505031,1508979,1515027,1523142,1523142,1523142,1523142,1523142,1523142
40-49,765853,759467,753045,747787,747428,748372,751394,756595,764957,786572,807376,838083,870975,903306,957596,1005266,1051838,1097396,1141780,1180275,1220111,1253005,1284230,1318650,1334330,1355919,1379709,1403028,1428360,1455313,1480348,1501297,1515657,1525656,1533024,1533024,1533024,1533024,1533024,1533024
50-59,677980,688908,698775,711256,721965,734479,744910,749012,749516,745969,741441,736458,731979,730554,735273,740911,750169,760017,771820,790625,809728,838710,871501,904952,958408,1006091,1050572,1096617,1144148,1184567,1226252,1258195,1289983,1320798,1334591,1334591,1334591,1334591,1334591,1334591
60+,948203,977497,1002761,1031911,1053357,1076294,1097996,1126949,1164090,1200278,1234718,1270103,1303687,1340759,1371506,1401637,1431084,1455478,1484542,1506937,1528669,1551182,1574100,1600413,1630212,1660179,1693719,1728472,1766904,1800868,1834948,1876605,1924386,1972898,2045294,2045294,2045294,2045294,2045294,2045294
