0-9,1290541,1292534,1294300,1288294,1282815,1275899,1260247,1247136,1232321,1224074,1219898,1214659,1216737,1223898,1237719,1255132,1274070,1292552,1304720,1315095,1318285,1322539,1329295,1334862,1341170,1344396,1347433,1348432,1351289,1346323,1342289,1340615,1345042,1359486,1372016,1372016,1372016,1372016,1372016,1372016
10-19,1265065,1285110,1293556,1295987,1302636,1305940,1311682,1316990,1333016,1349665,1354811,1356116,1358139,1360753,1360535,1360244,1358437,1351418,1337084,1320873,1313198,1311531,1314966,1325572,1326176,1331978,1344197,1362493,1383751,1399037,1412044,1423167,1435478,1445087,1458363,1458363,1458363,1458363,1458363,1458363
20-29,1138170,1164026,1180206,1192334,1193552,1209280,1231127,1254597,1282249,1309147,1325511,1338523,1353608,1362179,1370445,1381622,1394950,1404353,1409852,1418088,1416004,1412956,1416535,1419360,1414572,1403165,1390001,1377490,1361686,1365018,1378882,1396492,1420914,1455797,1489441,1489441,1489441,1489441,1489441,1489441
30-39,851991,881947,911832,936409,981087,1017155,1049172,1085161,1126431,1169433,1207018,1229617,1252069,1277441,1284058,1304687,1330311,1355445,1378012,1401812,1416562,1430221,1441366,1447385,1448233,1448854,1452546,1456812,1468353,1478053,1480921,1482945,1489713,1499633,1510050,1510050,1510050,1510050,1510050,1510050
40-49,816036,810601,804390,797056,793706,790662,790728,794769,804512,827553,850216,881192,916200,953298,1008993,1057124,1101994,1143939,1181636,1215303,1249088,1275538,1300860,1330371,1336753,1349630,1368097,1386964,1409491,1436267,1459545,1479462,1492146,1500328,1508918,1508918,1508918,1508918,1508918,1508918
50-59,674186,686534,697172,715356,727302,742236,756049,762368,765686,766400,764830,762441,760088,761833,765012,769195,777091,787191,801064,820294,839459,868678,902978,937379,992560,1041141,1083334,1124642,1165428,1199402,1235456,1261341,1287106,1312999,1321647,1321647,1321647,1321647,1321647,1321647
60+,746859,768916,787725,806598,823604,840121,854757,877039,904052,934642,964062,995664,1025887,1060785,1091493,1120941,1150736,1176371,1203041,1224682,1245319,1266603,1287604,1313126,1343707,1375510,1410940,1448498,1490654,1528965,1565275,1608706,1657665,1709103,1784187,1784187,1784187,1784187,1784187,1784187
