1973,-1851
1974,-1901
1975,-341
1976,898
1977,2896
1978,4983
1979,6244
1980,6356
1981,5919
1982,9151
1983,16015
1984,21896
1985,26889
1986,29136
1987,27344
1988,21981
1989,16123
1990,16915
1991,31041
1992,55218
1993,70223
1994,83492
1995,95831
1996,96281
1997,82935
1998,72065
1999,53869
2000,42719
2001,38180
2002,29047
2003,22639
2004,10741
2005,-4531
2006,-29150
2007,-44820
2008,-16148
2009,42283
2010,84551
2011,147334
2012,143980
